2017 NAICS Code,title
111110.0,Soybean Farming
111120.0,Oilseed (except Soybean) Farming 
111130.0,Dry Pea and Bean Farming 
111140.0,Wheat Farming
111150.0,Corn Farming 
111160.0,Rice Farming
111191.0,Oilseed and Grain Combination Farming 
111199.0,All Other Grain Farming 
111211.0,Potato Farming 
111219.0,Other Vegetable (except Potato) and Melon Farming 
111310.0,Orange Groves
111320.0,Citrus (except Orange) Groves 
111331.0,Apple Orchards 
111332.0,Grape Vineyards 
111333.0,Strawberry Farming 
111334.0,Berry (except Strawberry) Farming 
111335.0,Tree Nut Farming 
111336.0,Fruit and Tree Nut Combination Farming 
111339.0,Other Noncitrus Fruit Farming 
111411.0,Mushroom Production 
111419.0,Other Food Crops Grown Under Cover 
111421.0,Nursery and Tree Production 
111422.0,Floriculture Production 
111910.0,Tobacco Farming
111920.0,Cotton Farming
111930.0,Sugarcane Farming
111940.0,Hay Farming 
111991.0,Sugar Beet Farming 
111992.0,Peanut Farming 
111998.0,All Other Miscellaneous Crop Farming 
112111.0,Beef Cattle Ranching and Farming 
112112.0,Cattle Feedlots 
112120.0,Dairy Cattle and Milk Production
112130.0,Dual-Purpose Cattle Ranching and Farming 
112210.0,Hog and Pig Farming 
112310.0,Chicken Egg Production 
112320.0,Broilers and Other Meat Type Chicken Production 
112330.0,Turkey Production
112340.0,Poultry Hatcheries
112390.0,Other Poultry Production 
112410.0,Sheep Farming
112420.0,Goat Farming
112511.0,Finfish Farming and Fish Hatcheries 
112512.0,Shellfish Farming 
112519.0,Other Aquaculture 
112910.0,Apiculture
112920.0,Horses and Other Equine Production
112930.0,Fur-Bearing Animal and Rabbit Production
112990.0,All Other Animal Production 
113110.0,Timber Tract Operations
113210.0,Forest Nurseries and Gathering of Forest Products 
113310.0,Logging 
114111.0,Finfish Fishing 
114112.0,Shellfish Fishing 
114119.0,Other Marine Fishing 
114210.0,Hunting and Trapping
115111.0,Cotton Ginning 
115112.0,"Soil Preparation, Planting, and Cultivating "
115113.0,"Crop Harvesting, Primarily by Machine "
115114.0,Postharvest Crop Activities (except Cotton Ginning) 
115115.0,Farm Labor Contractors and Crew Leaders 
115116.0,Farm Management Services 
115210.0,Support Activities for Animal Production
115310.0,Support Activities for Forestry
211120.0,Crude Petroleum Extraction 
211130.0,Natural Gas Extraction 
212111.0,Bituminous Coal and Lignite Surface Mining 
212112.0,Bituminous Coal Underground Mining 
212113.0,Anthracite Mining 
212210.0,Iron Ore Mining
212221.0,Gold Ore Mining 
212222.0,Silver Ore Mining 
212230.0,"Copper, Nickel, Lead, and Zinc Mining "
212291.0,Uranium-Radium-Vanadium Ore Mining 
212299.0,All Other Metal Ore Mining 
212311.0,Dimension Stone Mining and Quarrying 
212312.0,Crushed and Broken Limestone Mining and Quarrying 
212313.0,Crushed and Broken Granite Mining and Quarrying 
212319.0,Other Crushed and Broken Stone Mining and Quarrying 
212321.0,Construction Sand and Gravel Mining 
212322.0,Industrial Sand Mining 
212324.0,Kaolin and Ball Clay Mining 
212325.0,Clay and Ceramic and Refractory Minerals Mining 
212391.0,"Potash, Soda, and Borate Mineral Mining "
212392.0,Phosphate Rock Mining 
212393.0,Other Chemical and Fertilizer Mineral Mining 
212399.0,All Other Nonmetallic Mineral Mining 
213111.0,Drilling Oil and Gas Wells
213112.0,Support Activities for Oil and Gas Operations 
213113.0,Support Activities for Coal Mining 
213114.0,Support Activities for Metal Mining 
213115.0,Support Activities for Nonmetallic Minerals (except Fuels) Mining 
221111.0,Hydroelectric Power Generation 
221112.0,Fossil Fuel Electric Power Generation 
