Zip,NAICSIndustry,LoanMin,LoanMax,RecipientCount
10708.0,Marketing Consulting Services ,61472.0,61472.0,1
90245.0,Software Publishers,41100.0,41100.0,1
93606.0,Employment Placement Agencies ,150000.0,350000.0,0
93606.0,"General Freight Trucking, Local ",6070.0,6070.0,1
93606.0,Office Administrative Services,66947.0,66947.0,1
93620.0,All Other Animal Production ,11884.0,11884.0,1
93620.0,All Other Miscellaneous Crop Farming ,746790.62,1596790.62,6
93620.0,All Other Personal Services ,1672.0,1672.0,1
93620.0,"All Other Professional, Scientific, and Technical Services",56245.0,56245.0,1
93620.0,Beef Cattle Ranching and Farming ,182873.5,182873.5,5
93620.0,"Beer, Wine, and Liquor Stores ",11800.0,11800.0,1
93620.0,Broilers and Other Meat Type Chicken Production ,7685.0,7685.0,1
93620.0,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,132500.0,132500.0,1
93620.0,Cotton Farming,262595.02,262595.02,6
93620.0,Cotton Ginning ,150000.0,350000.0,0
93620.0,"Crop Harvesting, Primarily by Machine ",120700.0,120700.0,1
93620.0,Dairy Cattle and Milk Production,482114.0,482114.0,4
93620.0,Electrical Contractors and Other Wiring Installation Contractors,122132.0,122132.0,1
93620.0,Exterminating and Pest Control Services,15017.0,15017.0,1
93620.0,Farm Management Services ,103815.04,103815.04,1
93620.0,Farm and Garden Machinery and Equipment Merchant Wholesalers ,350000.0,1000000.0,0
93620.0,Fitness and Recreational Sports Centers ,350000.0,1000000.0,0
93620.0,Floriculture Production ,150000.0,350000.0,0
93620.0,Food Service Contractors,56993.0,56993.0,1
93620.0,Fresh Fruit and Vegetable Merchant Wholesalers ,28377.0,28377.0,1
93620.0,Fruit and Tree Nut Combination Farming ,138762.52000000002,138762.52000000002,3
93620.0,Fuel Dealers ,46784.07,46784.07,1
93620.0,Full-Service Restaurants ,9126.0,9126.0,1
93620.0,Gasoline Stations with Convenience Stores ,33170.75,33170.75,1
93620.0,"General Freight Trucking, Local ",17777.0,17777.0,1
93620.0,"General Freight Trucking, Long-Distance, Truckload ",142960.0,142960.0,2
93620.0,Hay Farming ,9764.69,9764.69,1
93620.0,Hotels (except Casino Hotels) and Motels ,26300.0,26300.0,1
93620.0,Insurance Agencies and Brokerages ,56964.0,56964.0,1
93620.0,Limited-Service Restaurants ,48078.0,48078.0,2
93620.0,Livestock Merchant Wholesalers ,111579.0,111579.0,1
93620.0,Motor Vehicle Towing,14965.47,14965.47,1
93620.0,Offices of Lawyers,54823.0,54823.0,1
93620.0,Offices of Real Estate Agents and Brokers,41663.0,41663.0,1
93620.0,Other Scientific and Technical Consulting Services,122125.28000000001,122125.28000000001,4
93620.0,Other Vegetable (except Potato) and Melon Farming ,57470.0,57470.0,2
93620.0,Pharmacies and Drug Stores ,114500.0,114500.0,1
93620.0,"Plumbing, Heating, and Air-Conditioning Contractors ",46265.0,46265.0,1
93620.0,Postharvest Crop Activities (except Cotton Ginning) ,57673.13,57673.13,1
93620.0,Private Households,8387.0,8387.0,1
93620.0,Religious Organizations ,2616.45,2616.45,1
93620.0,Residential Remodelers ,10000.0,10000.0,1
93620.0,Retail Bakeries ,3000.0,3000.0,1
93620.0,Security Guards and Patrol Services ,73370.0,73370.0,1
93620.0,"Soil Preparation, Planting, and Cultivating ",21573.0,21573.0,1
93620.0,"Specialized Freight (except Used Goods) Trucking, Local ",25500.0,25500.0,1
93620.0,Supermarkets and Other Grocery (except Convenience) Stores ,126281.0,126281.0,2
93620.0,Tire Dealers ,33688.0,33688.0,1
93620.0,Tree Nut Farming ,74100.0,74100.0,1
93620.0,UNKNOWN,13437.0,13437.0,1
93620.0,Water and Sewer Line and Related Structures Construction ,36349.0,36349.0,1
93622.0,Aircraft Manufacturing ,97193.0,97193.0,1
93622.0,All Other Miscellaneous Crop Farming ,953232.0,2203232.0,3
93622.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,765993.0,2065993.0,1
93622.0,All Other Miscellaneous Waste Management Services ,4061.05,4061.05,1
93622.0,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,50824.69,50824.69,2
93622.0,Cotton Farming,1331143.3599999999,2331143.36,6
93622.0,"Crop Harvesting, Primarily by Machine ",226000.0,226000.0,2
93622.0,Farm Labor Contractors and Crew Leaders ,350000.0,1000000.0,0
93622.0,Farm Management Services ,350000.0,1000000.0,0
93622.0,Farm Supplies Merchant Wholesalers ,124902.0,124902.0,2
93622.0,Fruit and Tree Nut Combination Farming ,262498.05,462498.05,1
93622.0,Full-Service Restaurants ,29033.0,29033.0,2
93622.0,Gasoline Stations with Convenience Stores ,31527.5,31527.5,1
93622.0,General Automotive Repair ,9682.0,9682.0,1
93622.0,"General Freight Trucking, Local ",1000000.0,2000000.0,0
93622.0,"General Freight Trucking, Long-Distance, Truckload ",3198.0,3198.0,1
93622.0,Grape Vineyards ,18199.69,18199.69,1
93622.0,Hay Farming ,14572.0,14572.0,1
93622.0,Hotels (except Casino Hotels) and Motels ,43591.0,43591.0,2
93622.0,Limited-Service Restaurants ,100847.38,100847.38,4
93622.0,Meat Markets ,31370.0,31370.0,1
93622.0,Miscellaneous Intermediation ,150000.0,350000.0,0
93622.0,Mobile Food Services,17750.0,17750.0,1
93622.0,Motor Vehicle Towing,350000.0,1000000.0,0
93622.0,Office Administrative Services,83185.0,83185.0,1
93622.0,Offices of Certified Public Accountants ,93125.0,93125.0,1
93622.0,Offices of Lawyers,28105.64,28105.64,1
93622.0,Offices of Physicians (except Mental Health Specialists) ,77165.0,77165.0,1
93622.0,Other Noncitrus Fruit Farming ,28000.0,28000.0,1
93622.0,Other Vegetable (except Potato) and Melon Farming ,1171521.37,2171521.37,2
93622.0,Painting and Wall Covering Contractors,13932.0,13932.0,1
93622.0,Pharmacies and Drug Stores ,92460.0,92460.0,1
93622.0,"Plumbing, Heating, and Air-Conditioning Contractors ",50663.0,50663.0,1
93622.0,Postharvest Crop Activities (except Cotton Ginning) ,350000.0,1000000.0,0
93622.0,Religious Organizations ,8513.0,8513.0,1
93622.0,Snack and Nonalcoholic Beverage Bars ,7100.0,7100.0,1
93622.0,"Soil Preparation, Planting, and Cultivating ",20832.0,20832.0,1
93622.0,"Specialized Freight (except Used Goods) Trucking, Local ",8843.0,8843.0,1
93622.0,Supermarkets and Other Grocery (except Convenience) Stores ,191661.0,191661.0,3
93622.0,Textile and Fabric Finishing Mills ,45552.0,45552.0,1
93622.0,Tire Dealers ,94474.14,94474.14,1
93622.0,Tree Nut Farming ,748564.0700000001,1348564.07,5
93622.0,UNKNOWN,31894.0,31894.0,2
93622.0,Water Supply and Irrigation Systems ,150000.0,350000.0,0
93630.0,All Other General Merchandise Stores ,15315.0,15315.0,1
93630.0,All Other Miscellaneous Crop Farming ,513682.83,1163682.83,5
93630.0,All Other Miscellaneous General Purpose Machinery Manufacturing ,1000000.0,2000000.0,0
93630.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,48391.0,48391.0,2
93630.0,"All Other Professional, Scientific, and Technical Services",1070717.0,3020717.0,1
93630.0,All Other Specialty Trade Contractors,52333.0,52333.0,2
93630.0,All Other Support Activities for Transportation ,35831.33,35831.33,3
93630.0,Appliance Repair and Maintenance ,19480.0,19480.0,1
93630.0,Assisted Living Facilities for the Elderly ,89957.0,89957.0,1
93630.0,"Beer, Wine, and Liquor Stores ",6831.45,6831.45,1
93630.0,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing ",21668.75,21668.75,1
93630.0,Commercial and Institutional Building Construction ,253874.0,453874.0,1
93630.0,Couriers and Express Delivery Services,4300.0,4300.0,1
93630.0,"Crop Harvesting, Primarily by Machine ",82725.0,82725.0,2
93630.0,Dairy Cattle and Milk Production,545698.5,945698.5,2
93630.0,Dental Laboratories ,49500.0,49500.0,1
93630.0,Dried and Dehydrated Food Manufacturing ,350000.0,1000000.0,0
93630.0,Electrical Contractors and Other Wiring Installation Contractors,2000000.0,5000000.0,0
93630.0,Elementary and Secondary Schools ,110310.63,110310.63,1
93630.0,Exterminating and Pest Control Services,127750.0,127750.0,1
93630.0,Farm Labor Contractors and Crew Leaders ,261649.19,461649.19,1
93630.0,Farm Management Services ,2045716.0,5045716.0,1
93630.0,Farm and Garden Machinery and Equipment Merchant Wholesalers ,150000.0,350000.0,0
93630.0,Fruit and Tree Nut Combination Farming ,1024515.2,2724515.2,1
93630.0,Full-Service Restaurants ,14200.0,14200.0,1
93630.0,Gasoline Stations with Convenience Stores ,87900.0,87900.0,2
93630.0,"General Freight Trucking, Local ",315386.45,515386.45,7
93630.0,"General Freight Trucking, Long-Distance, Less Than Truckload ",10857.0,10857.0,1
93630.0,"General Freight Trucking, Long-Distance, Truckload ",117277.0,117277.0,9
93630.0,Glass and Glazing Contractors ,35000.0,35000.0,1
93630.0,Grape Vineyards ,456487.87,656487.87,11
93630.0,Industrial Building Construction ,150000.0,350000.0,0
93630.0,Insurance Agencies and Brokerages ,54012.0,54012.0,1
93630.0,Investment Advice ,65000.0,65000.0,1
93630.0,Jewelry Stores ,27540.0,27540.0,1
93630.0,Lessors of Residential Buildings and Dwellings ,16000.0,16000.0,1
93630.0,Limited-Service Restaurants ,227424.8,227424.8,5
93630.0,Line-Haul Railroads ,150000.0,350000.0,0
93630.0,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",80000.0,80000.0,1
93630.0,Meat Markets ,15271.0,15271.0,1
93630.0,Nail Salons ,53252.0,53252.0,2
93630.0,New Car Dealers ,150000.0,350000.0,0
93630.0,New Single-Family Housing Construction (except For-Sale Builders) ,40836.0,40836.0,1
93630.0,Office Administrative Services,1033604.0,2033604.0,1
93630.0,Offices of Dentists ,61800.0,61800.0,1
