Zip,NAICSIndustry,PctLoanMin
10708.0,Marketing Consulting Services ,100.0
81301.0,UNKNOWN,100.0
84098.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,100.0
84124.0,UNKNOWN,100.0
85224.0,Electrical Contractors and Other Wiring Installation Contractors,100.0
85226.0,Offices of Real Estate Agents and Brokers,100.0
85253.0,Religious Organizations ,100.0
89119.0,UNKNOWN,100.0
90245.0,Software Publishers,100.0
91730.0,Hotels (except Casino Hotels) and Motels ,100.0
93109.0,"All Other Professional, Scientific, and Technical Services",100.0
93601.0,New Single-Family Housing Construction (except For-Sale Builders) ,39.46804857932724
93601.0,UNKNOWN,17.478150983869426
93601.0,"Plumbing, Heating, and Air-Conditioning Contractors ",12.77844442792568
93601.0,Hotels (except Casino Hotels) and Motels ,12.149079491835598
93601.0,Gasoline Stations with Convenience Stores ,6.736116273225088
93601.0,Custom Computer Programming Services ,4.43988998502692
93601.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,4.295468784844268
93601.0,Bed-and-Breakfast Inns ,2.654801473945778
93602.0,Sheet Metal Work Manufacturing ,14.046764195055573
93602.0,Logging ,13.55959318251029
93602.0,Water Supply and Irrigation Systems ,11.173035186529543
93602.0,Exterminating and Pest Control Services,8.502294099897385
93602.0,Offices of Dentists ,7.249568639066665
93602.0,Veterinary Services ,7.216800588818084
93602.0,All Other Transit and Ground Passenger Transportation ,6.716000387231358
93602.0,Industrial Building Construction ,5.799654911253332
93602.0,New Single-Family Housing Construction (except For-Sale Builders) ,4.648075432074871
93602.0,Building Inspection Services,4.54228972649361
93604.0,Marinas,24.32321927664057
93604.0,Full-Service Restaurants ,17.65738075767785
93604.0,UNKNOWN,14.358145256669973
93604.0,"Automotive Body, Paint, and Interior Repair and Maintenance ",9.14726782082233
93604.0,All Other Travel Arrangement and Reservation Services ,8.594676898917895
93604.0,Other Activities Related to Real Estate ,7.374970276299182
93604.0,Offices of Real Estate Agents and Brokers,5.655325764758268
93604.0,Manufactured Home (Mobile Home) Manufacturing ,5.253437751093583
93604.0,All Other Amusement and Recreation Industries ,3.722941726016415
93604.0,Residential Property Managers ,2.286949917410084
93605.0,All Other Traveler Accommodation ,100.0
93606.0,Employment Placement Agencies ,67.25944658927347
93606.0,Office Administrative Services,30.018787805413933
93606.0,"General Freight Trucking, Local ",2.7217656053126
93610.0,Tree Nut Farming ,15.46720024814959
93610.0,Dairy Cattle and Milk Production,11.836507740162597
93610.0,All Other Miscellaneous Crop Farming ,5.355263345732278
93610.0,Limited-Service Restaurants ,5.179186689022205
93610.0,"General Freight Trucking, Local ",3.7633441097574107
93610.0,"Plumbing, Heating, and Air-Conditioning Contractors ",3.485748878490172
93610.0,UNKNOWN,2.696230426530771
93610.0,Full-Service Restaurants ,2.6667152100478826
93610.0,Concrete Pipe Manufacturing ,2.4913089419258183
93610.0,Nursery and Tree Production ,2.0727690396822807
93614.0,Supermarkets and Other Grocery (except Convenience) Stores ,12.678475270685249
93614.0,Offices of Dentists ,8.068743439849223
93614.0,Power and Communication Line and Related Structures Construction ,7.710111438639167
93614.0,UNKNOWN,7.204452231617415
93614.0,All Other Specialty Trade Contractors,6.499400780733527
93614.0,Religious Organizations ,5.7099337906943815
93614.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,5.516498889045038
93614.0,Civic and Social Organizations ,4.401522720498958
93614.0,Petroleum Bulk Stations and Terminals ,3.872272438314552
93614.0,"Scenic and Sightseeing Transportation, Land",3.3778130346528465
93619.0,UNKNOWN,7.916628269480157
93619.0,Offices of Physicians (except Mental Health Specialists) ,4.802704857741482
93619.0,Commercial and Institutional Building Construction ,4.529072945375273
93619.0,"General Freight Trucking, Local ",2.519503749732032
93619.0,Citrus (except Orange) Groves ,1.9755983241535504
93619.0,Poured Concrete Foundation and Structure Contractors ,1.8981804911241715
93619.0,Other Management Consulting Services ,1.8930338078128464
93619.0,Offices of Real Estate Agents and Brokers,1.8496426647734643
93619.0,Insurance Agencies and Brokerages ,1.8173633365320931
93619.0,Veterinary Services ,1.7307668331679809
93620.0,All Other Miscellaneous Crop Farming ,15.171746592714676
93620.0,Dairy Cattle and Milk Production,9.794594684116467
93620.0,Farm and Garden Machinery and Equipment Merchant Wholesalers ,7.1105757962655405
93620.0,Fitness and Recreational Sports Centers ,7.1105757962655405
93620.0,Cotton Farming,5.334862266948186
93620.0,Beef Cattle Ranching and Farming ,3.7152453796524743
93620.0,Cotton Ginning ,3.0473896269709453
93620.0,Floriculture Production ,3.0473896269709453
93620.0,"General Freight Trucking, Long-Distance, Truckload ",2.904365473811777
93620.0,Fruit and Tree Nut Combination Farming ,2.819089760402323
93621.0,General Automotive Repair ,62.409174254902574
93621.0,Zoos and Botanical Gardens ,29.24076203499394
93621.0,RV (Recreational Vehicle) Parks and Campgrounds ,8.350063710103491
93622.0,Cotton Farming,13.849906986821468
93622.0,Other Vegetable (except Potato) and Melon Farming ,12.189116886383793
93622.0,"General Freight Trucking, Local ",10.404519455230927
93622.0,All Other Miscellaneous Crop Farming ,9.91792088934869
93622.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,7.969789071070705
93622.0,Tree Nut Farming ,7.788449429801848
93622.0,Farm Labor Contractors and Crew Leaders ,3.6415818093308254
93622.0,Farm Management Services ,3.6415818093308254
93622.0,Motor Vehicle Towing,3.6415818093308254
93622.0,Postharvest Crop Activities (except Cotton Ginning) ,3.6415818093308254
93623.0,Hotels (except Casino Hotels) and Motels ,55.29309108709808
93623.0,Residential Remodelers ,44.70690891290192
93623.0,All Other Travel Arrangement and Reservation Services ,0.0
93626.0,New Multifamily Housing Construction (except For-Sale Builders) ,17.10478942724777
93626.0,UNKNOWN,13.494173636628892
93626.0,Farm Management Services ,11.631256810528484
93626.0,Wineries ,8.210298925078929
93626.0,Secondary Market Financing ,7.526107347989018
93626.0,Painting and Wall Covering Contractors,6.814548107815512
93626.0,Offices of Physicians (except Mental Health Specialists) ,6.217020341029272
93626.0,Marinas,5.282369490080365
93626.0,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,4.789341039629376
93626.0,All Other Miscellaneous Crop Farming ,4.376773518644159
93630.0,Solid Waste Landfill ,11.508470892763667
93630.0,Farm Management Services ,10.018324698238688
93630.0,Electrical Contractors and Other Wiring Installation Contractors,9.794443312990355
93630.0,Water Supply and Irrigation Systems ,5.631804904969454
93630.0,Tree Nut Farming ,5.426386877893789
93630.0,"All Other Professional, Scientific, and Technical Services",5.2435384803775476
93630.0,Office Administrative Services,5.061787893040041
93630.0,Fruit and Tree Nut Combination Farming ,5.017278024848489
