Zip,LoanMin,LoanMax,RecipientCount,AvgLoanMin,AvgLoanMax
4607.0,0.0,0.0,0,,
10708.0,61472.0,61472.0,1,61472.0,61472.0
33012.0,0.0,0.0,0,,
81301.0,67500.0,67500.0,1,67500.0,67500.0
84124.0,106200.0,106200.0,1,106200.0,106200.0
85224.0,54362.0,54362.0,1,54362.0,54362.0
85253.0,20000.0,20000.0,1,20000.0,20000.0
90003.0,6747936.33,6747936.33,227,29726.591762114538,29726.591762114538
90004.0,22530925.439999994,22530925.439999994,818,27543.91863080684,27543.91863080684
90005.0,11880275.919999998,11880275.919999998,479,24802.246179540707,24802.246179540707
90006.0,21175389.02,21175389.02,749,28271.547423230975,28271.547423230975
90007.0,17705034.330000002,17705034.330000002,466,37993.635901287555,37993.635901287555
90008.0,7889423.739999999,7889423.739999999,297,26563.716296296294,26563.716296296294
90009.0,181970.0,181970.0,4,45492.5,45492.5
90010.0,41759858.809999995,41759858.809999995,1141,36599.35040315512,36599.35040315512
90011.0,13127673.669999998,13127673.669999998,393,33403.74979643765,33403.74979643765
90012.0,24507069.589999996,24507069.589999996,706,34712.56315864022,34712.56315864022
90013.0,30960700.540000003,30960700.540000003,878,35262.75687927107,35262.75687927107
90014.0,37203745.8,37203745.8,1295,28728.761235521233,28728.761235521233
90015.0,45059541.84,45059541.84,1467,30715.43411042945,30715.43411042945
90016.0,16330392.75,16330392.75,464,35194.8119612069,35194.8119612069
90017.0,32733053.17,32733053.17,723,45273.93246196404,45273.93246196404
90018.0,7473507.9,7473507.9,268,27886.223507462688,27886.223507462688
90019.0,22765920.209999997,22765920.209999997,866,26288.5914665127,26288.5914665127
90020.0,18705260.359999996,18705260.359999996,620,30169.77477419354,30169.77477419354
90021.0,47405758.93,47405758.93,1056,44891.81716856061,44891.81716856061
90022.0,13389879.35,13389879.35,383,34960.52049608355,34960.52049608355
90023.0,17583536.91,17583536.91,395,44515.283316455694,44515.283316455694
90024.0,38939945.38,38939945.38,1154,33743.4535355286,33743.4535355286
90025.0,76708611.16999999,76708611.16999999,2091,36685.13207556192,36685.13207556192
90026.0,24718516.37,24718516.37,913,27073.950021905806,27073.950021905806
90027.0,28633109.17,28633109.17,996,28748.101576305224,28748.101576305224
90028.0,30927255.409999996,30927255.409999996,887,34867.25525366403,34867.25525366403
90029.0,12479125.72,12479125.72,421,29641.628788598577,29641.628788598577
90031.0,8711567.600000001,8711567.600000001,302,28846.250331125833,28846.250331125833
90032.0,6951460.88,6951460.88,230,30223.74295652174,30223.74295652174
90033.0,9488942.86,9488942.86,241,39373.2068879668,39373.2068879668
90034.0,27639018.83,27639018.83,883,31301.267078142693,31301.267078142693
90035.0,25947151.77,25947151.77,891,29121.382457912456,29121.382457912456
90036.0,43370423.03,43370423.03,1375,31542.12584,31542.12584
90037.0,7852356.119999998,7852356.119999998,257,30553.91486381322,30553.91486381322
90038.0,19994068.710000005,19994068.710000005,583,34295.143584905665,34295.143584905665
90039.0,22117233.269999996,22117233.269999996,703,31461.213755334276,31461.213755334276
90040.0,26020268.11,26020268.11,442,58869.38486425339,58869.38486425339
90041.0,15487734.47,15487734.47,512,30249.48138671875,30249.48138671875
90042.0,14256989.340000002,14256989.340000002,587,24287.886439523,24287.886439523
90043.0,9894980.85,9894980.85,380,26039.42328947368,26039.42328947368
90044.0,6234225.92,6234225.92,250,24936.90368,24936.90368
90045.0,35121698.93000001,35121698.93000001,984,35692.78346544716,35692.78346544716
90046.0,44536341.42,44536341.42,1636,27222.702579462104,27222.702579462104
90047.0,8604280.99,8604280.99,341,25232.495571847507,25232.495571847507
90048.0,50798674.2,50798674.2,1414,35925.51216407355,35925.51216407355
90049.0,35527262.02,35527262.02,1124,31607.88435943061,31607.88435943061
90050.0,4800.0,4800.0,1,4800.0,4800.0
90051.0,0.0,0.0,0,,
90054.0,7500.0,7500.0,1,7500.0,7500.0
90056.0,4059554.64,4059554.64,151,26884.467814569536,26884.467814569536
90057.0,11722918.020000001,11722918.020000001,347,33783.62541786744,33783.62541786744
90058.0,33997218.92,33997218.92,627,54222.03974481659,54222.03974481659
90059.0,3952099.73,3952099.73,120,32934.16441666667,32934.16441666667
90061.0,7357873.04,7357873.04,171,43028.49730994152,43028.49730994152
90062.0,3400167.95,3400167.95,131,25955.480534351147,25955.480534351147
90063.0,5751354.89,5751354.89,164,35069.23713414634,35069.23713414634
90064.0,42953789.22,42953789.22,1192,36035.0580704698,36035.0580704698
90065.0,18169068.75,18169068.75,617,29447.43719611021,29447.43719611021
90066.0,33675810.44,33675810.44,1126,29907.469307282412,29907.469307282412
90067.0,39248135.79,39248135.79,976,40213.25388319672,40213.25388319672
90068.0,19823397.200000003,19823397.200000003,680,29152.054705882358,29152.054705882358
90069.0,45439011.77,45439011.77,1337,33985.79788332087,33985.79788332087
90070.0,0.0,0.0,0,,
90071.0,11102328.87,11102328.87,282,39369.96053191489,39369.96053191489
90072.0,31250.0,31250.0,1,31250.0,31250.0
90073.0,0.0,0.0,0,,
90077.0,7790994.3,7790994.3,252,30916.644047619047,30916.644047619047
90078.0,61957.0,61957.0,3,20652.333333333332,20652.333333333332
90079.0,858554.0,858554.0,25,34342.16,34342.16
90081.0,75712.0,75712.0,1,75712.0,75712.0
90086.0,70194.5,70194.5,2,35097.25,35097.25
90089.0,618834.8500000001,618834.8500000001,13,47602.68076923078,47602.68076923078
90094.0,6383225.149999999,6383225.149999999,218,29280.849311926602,29280.849311926602
90095.0,113078.0,113078.0,2,56539.0,56539.0
90202.0,35969.0,35969.0,1,35969.0,35969.0
90209.0,308442.0,308442.0,8,38555.25,38555.25
90210.0,47421423.13000001,47421423.13000001,1305,36338.255272030656,36338.255272030656
90211.0,46964217.25,46964217.25,1261,37243.62985725614,37243.62985725614
90212.0,46867758.080000006,46867758.080000006,1282,36558.3136349454,36558.3136349454
90213.0,198013.0,198013.0,13,15231.76923076923,15231.76923076923
90220.0,107100.0,107100.0,1,107100.0,107100.0
90230.0,29370605.149999995,29370605.149999995,790,37177.98120253164,37177.98120253164
90231.0,89641.0,89641.0,5,17928.2,17928.2
90232.0,26672417.46,26672417.46,644,41416.79729813665,41416.79729813665
90239.0,55442.0,55442.0,2,27721.0,27721.0
90241.0,20550170.890000004,20550170.890000004,607,33855.30624382208,33855.30624382208
90245.0,34945778.029999994,34945778.029999994,882,39621.06352607709,39621.06352607709
90247.0,14774386.549999999,14774386.549999999,455,32471.179230769227,32471.179230769227
90248.0,32457709.679999992,32457709.679999992,666,48735.29981981981,48735.29981981981
90249.0,16063709.729999999,16063709.729999999,434,37013.15605990783,37013.15605990783
90250.0,23837497.270000007,23837497.270000007,718,33199.85692200558,33199.85692200558
90251.0,54015.0,54015.0,2,27007.5,27007.5
90254.0,21759696.470000003,21759696.470000003,695,31308.915784172666,31308.915784172666
90260.0,9494686.43,9494686.43,340,27925.548323529412,27925.548323529412
90261.0,15000.0,15000.0,1,15000.0,15000.0
90263.0,79007.0,79007.0,3,26335.666666666668,26335.666666666668
90264.0,5295.0,5295.0,1,5295.0,5295.0
90265.0,19751918.87,19751918.87,571,34591.80187390543,34591.80187390543
90266.0,40673948.879999995,40673948.879999995,1231,33041.38820471161,33041.38820471161
90267.0,166366.32,166366.32,9,18485.146666666667,18485.146666666667
90272.0,20890554.229999997,20890554.229999997,649,32188.83548536209,32188.83548536209
90274.0,21903799.560000002,21903799.560000002,671,32643.516482861403,32643.516482861403
90275.0,16448473.71,16448473.71,573,28705.887801047124,28705.887801047124
90277.0,28233490.849999998,28233490.849999998,944,29908.358951271184,29908.358951271184
90278.0,21161843.130000006,21161843.130000006,739,28635.78231393776,28635.78231393776
90290.0,5398472.24,5398472.24,216,24992.92703703704,24992.92703703704
90291.0,30132721.820000004,30132721.820000004,972,31000.742613168728,31000.742613168728
90292.0,31415320.479999993,31415320.479999993,981,32023.772150866454,32023.772150866454
90293.0,7367898.540000001,7367898.540000001,249,29589.95397590362,29589.95397590362
90294.0,51866.869999999995,51866.869999999995,5,10373.374,10373.374
90295.0,46809.0,46809.0,3,15603.0,15603.0
90296.0,20832.5,20832.5,1,20832.5,20832.5
90301.0,17458983.3,17458983.3,492,35485.73841463415,35485.73841463415
90302.0,7746463.6899999995,7746463.6899999995,244,31747.80200819672,31747.80200819672
90303.0,5088160.569999999,5088160.569999999,141,36086.24517730496,36086.24517730496
90304.0,5889978.859999999,5889978.859999999,159,37043.892201257855,37043.892201257855
90305.0,4556781.37,4556781.37,148,30789.063310810812,30789.063310810812
90307.0,10000.0,10000.0,1,10000.0,10000.0
90308.0,11414.0,11414.0,1,11414.0,11414.0
90310.0,46495.0,46495.0,1,46495.0,46495.0
90401.0,30658216.46,30658216.46,769,39867.64169050715,39867.64169050715
90402.0,8250239.11,8250239.11,250,33000.95644,33000.95644
90403.0,29649315.369999997,29649315.369999997,980,30254.40343877551,30254.40343877551
90404.0,30819351.000000007,30819351.000000007,779,39562.70988446727,39562.70988446727
90405.0,34110063.85,34110063.85,1068,31938.26203183521,31938.26203183521
90406.0,146580.0,146580.0,7,20940.0,20940.0
90408.0,101111.70999999999,101111.70999999999,6,16851.951666666664,16851.951666666664
90409.0,98720.0,98720.0,2,49360.0,49360.0
90410.0,76898.0,76898.0,1,76898.0,76898.0
90411.0,230900.0,230900.0,2,115450.0,115450.0
90501.0,37137107.33,37137107.33,912,40720.512423245615,40720.512423245615
90502.0,9943846.84,9943846.84,249,39935.12787148594,39935.12787148594
90503.0,35145320.17999999,35145320.17999999,939,37428.45599574014,37428.45599574014
90504.0,10752438.429999998,10752438.429999998,331,32484.708247734132,32484.708247734132
90505.0,47245874.99000001,47245874.99000001,1269,37230.79195429473,37230.79195429473
90509.0,13000.0,13000.0,1,13000.0,13000.0
90510.0,187115.0,187115.0,3,62371.666666666664,62371.666666666664
90601.0,11688943.719999999,11688943.719999999,348,33588.91873563218,33588.91873563218
90602.0,8742971.469999999,8742971.469999999,253,34557.199486166006,34557.199486166006
90603.0,7241358.98,7241358.98,199,36388.73859296483,36388.73859296483
90604.0,5227201.29,5227201.29,160,32670.0080625,32670.0080625
90605.0,10106530.32,10106530.32,280,36094.751142857145,36094.751142857145
90606.0,5950183.789999999,5950183.789999999,184,32337.955380434778,32337.955380434778
90607.0,310658.04000000004,310658.04000000004,7,44379.72000000001,44379.72000000001
90608.0,26000.0,26000.0,1,26000.0,26000.0
90609.0,90157.5,90157.5,2,45078.75,45078.75
90620.0,13280195.290000001,13280195.290000001,407,32629.47245700246,32629.47245700246
90621.0,19050487.31,19050487.31,621,30677.113220611915,30677.113220611915
90622.0,64859.0,64859.0,2,32429.5,32429.5
90623.0,6267443.5600000005,6267443.5600000005,205,30572.89541463415,30572.89541463415
90630.0,19698489.279999997,19698489.279999997,606,32505.757887788775,32505.757887788775
90631.0,23873031.109999996,23873031.109999996,727,32837.73192572214,32837.73192572214
90633.0,178103.0,178103.0,3,59367.666666666664,59367.666666666664
90637.0,8022.0,8022.0,1,8022.0,8022.0
90638.0,15582912.530000001,15582912.530000001,513,30376.047816764134,30376.047816764134
90639.0,28793.04,28793.04,1,28793.04,28793.04
90640.0,22402321.67,22402321.67,595,37650.96078991597,37650.96078991597
90650.0,18416878.9,18416878.9,574,32085.15487804878,32085.15487804878
90651.0,65200.0,65200.0,1,65200.0,65200.0
90660.0,11630896.220000003,11630896.220000003,336,34615.76255952382,34615.76255952382
90670.0,42146701.519999996,42146701.519999996,798,52815.41543859649,52815.41543859649
90680.0,10228568.89,10228568.89,295,34673.114881355934,34673.114881355934
90701.0,12642757.700000001,12642757.700000001,387,32668.62454780362,32668.62454780362
90702.0,95362.0,95362.0,1,95362.0,95362.0
90703.0,34657113.02,34657113.02,878,39472.79387243736,39472.79387243736
90704.0,3757670.68,3757670.68,84,44734.17476190477,44734.17476190477
90706.0,18202392.57,18202392.57,546,33337.71532967033,33337.71532967033
90710.0,6694781.86,6694781.86,214,31284.02738317757,31284.02738317757
90711.0,28983.54,28983.54,2,14491.77,14491.77
90712.0,10440425.43,10440425.43,321,32524.68981308411,32524.68981308411
90713.0,5394779.52,5394779.52,177,30478.98033898305,30478.98033898305
90714.0,81327.04,81327.04,5,16265.408,16265.408
